IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
4,0,2,1	2,4,4,4	0,4,1,0	3,5,3,4	78	39
8,12,4,3	0,2,0,2	7,6,6,5	0,0,1,0	78	39
8,12,4,3	63,60,60,46	7,7,7,5	51,56,53,63	78	39
0,2,0,2	63,60,60,46	0,1,2,0	51,56,53,63	67	39
101,92,100,86	0,0,0,1	108,73,88,97	0,2,1,0	78	39
53,39,50,37	0,0,1,0	62,41,47,60	0,0,0,0	78	39
0,0,1,0	625,528,506,573	0,4,0,0	455,400,443,474	49	39
2,4,3,3	57,46,32,44	2,8,2,1	47,46,49,48	78	39
5,2,1,4	4,7,0,7	1,3,1,0	0,5,1,1	51	39
0,0,1,0	30,40,27,24	1,0,2,1	25,25,43,30	57	39
9,7,5,2	153,142,132,137	6,6,2,4	135,125,123,136	71	39
1,1,0,1	98,85,83,77	0,2,1,3	104,62,91,87	78	39
5,4,2,6	89,95,79,91	2,2,3,1	108,66,109,81	48	39
68,66,69,76	8,9,4,5	76,56,70,87	8,13,6,9	78	39
51,53,48,59	6,2,3,3	52,49,55,69	3,1,5,8	78	39
51,54,48,58	0,0,3,2	57,50,55,69	1,2,2,3	78	39
50,51,46,56	0,0,1,1	51,46,49,67	2,0,0,0	78	39
22,13,17,13	60,65,77,52	24,11,16,16	80,82,98,89	78	39
10,3,6,3	0,0,0,0	10,6,5,8	0,0,1,0	78	39
17,22,19,12	108,75,82,72	25,24,23,11	90,70,86,116	78	39
0,1,1,0	5,3,9,5	0,0,0,0	0,0,5,4	43	39
2,0,2,4	1,0,0,0	4,1,3,1	0,0,0,0	42	39
2,5,3,4	52,36,46,43	2,2,1,8	46,63,46,59	62	39
35,33,38,27	18,35,16,22	18,10,26,27	22,23,15,24	78	39
0,1,0,0	3,2,0,1	0,0,1,0	1,2,0,1	43	39
0,1,0,0	288,305,271,267	0,0,1,0	316,276,294,311	43	39
343,356,333,314	6,5,6,11	337,293,296,335	6,8,11,12	50	39
0,2,1,2	5,2,0,2	1,0,1,2	1,1,3,4	43	39
0,2,1,2	288,305,280,260	1,0,1,2	319,258,321,311	43	39
60,29,36,47	152,166,159,128	43,28,67,49	165,155,186,181	78	39
0,5,3,1	10,11,6,12	0,3,4,2	19,7,11,6	78	39
22,6,10,14	4,5,1,4	13,8,21,14	4,4,0,3	78	39
0,4,0,2	4,9,9,3	1,0,0,0	16,12,13,10	78	39
19,20,13,15	731,649,549,665	22,12,21,16	701,636,659,613	78	39
59,55,50,38	1,1,2,2	48,55,78,76	0,1,3,1	78	39
9,10,7,16	19,20,20,19	13,12,7,8	28,23,25,14	78	39
13,9,13,11	1,0,0,0	13,14,12,24	0,2,5,0	78	39
7,4,8,7	2,2,2,2	4,8,0,15	1,3,4,1	78	39
7,4,8,8	1,3,1,4	4,8,0,15	1,2,2,1	78	39
5,2,5,5	2,2,2,2	1,8,0,8	1,3,4,1	78	39
5,2,5,6	1,3,1,4	1,8,0,8	1,2,2,1	78	39
2,2,2,3	1,3,1,4	1,3,4,1	1,2,2,1	43	39
5,5,4,2	5,16,7,13	5,1,2,1	6,6,8,12	78	39
5,5,4,2	14,14,18,7	5,1,1,2	14,15,15,15	78	39
1,3,2,2	0,3,0,0	2,2,5,0	0,0,0,0	78	39
0,0,1,1	0,3,0,0	0,1,3,0	0,0,0,0	78	39
7,8,5,7	0,0,2,2	3,6,3,3	0,0,2,1	78	39
7,7,5,3	0,0,0,0	3,6,2,1	1,0,0,1	78	39
1,2,3,2	0,0,0,0	0,0,2,1	1,0,0,1	67	39
