"","groupID","featureID","exonBaseMean","dispersion","stat","pvalue","padj","PREECLAMPSIA","CONTROL","log2fold_CONTROL_PREECLAMPSIA","-log10padj","regulation"
"329","Tppp","E001",10.2970058539443,0.0143104976939209,15.2336743057602,9.49943571742354e-05,0.00211939416947138,6.45993988804526,4.26006505417581,-1.20262552907433,2.67378826475847,"skipped exon"
"330","Trpm3","E024",29.3735834605805,0.0284609955033446,17.8531418733295,2.38624956151128e-05,0.00068128170166645,7.38258396053038,12.0494275030054,1.41866444089037,3.16667327548451,"included exon"
"331","Trrap","E006",68.1333256184109,0.0165253304557315,20.3979674026506,6.28965641869749e-06,0.00022249591979504,17.0862807879853,12.0928572123956,-1.00560229608552,3.6526779488482,"skipped exon"
"332","Trrap","E009",76.2175669099099,0.00153648711486933,62.995460001051,2.07183583816851e-15,7.10311651817421e-13,18.134292835632,12.658352449592,-1.04679085332767,12.1485510611853,"skipped exon"
"333","Tsc1","E020",16.5759187181284,0.0350262341717719,9.57778654248497,0.00196945703855233,0.022876233286415,5.73379775452111,8.7092805576612,1.20855733744271,1.6406154832704,"included exon"
"334","Tsga10","E003",10.0361746311688,0.00485279317223694,10.3867907409807,0.00126920032596972,0.0163918287900551,4.5311957459067,6.6699567967072,1.11692731259885,1.78537259071732,"included exon"
"335","Tspoap1","E008",11.9150675149704,0.0729820603724168,8.84355912425167,0.00294125008599926,0.0307591578029347,7.59753086325446,4.26071556057349,-1.67110955163022,1.51202555985063,"skipped exon"
"336","Ubr4","E003",62.0917674800788,0.00093417794106054,55.3975272818397,9.84602310883413e-14,2.50820580012721e-11,16.3147529208914,11.4377188395633,-1.03240737285647,10.6006368321983,"skipped exon"
"337","Ubr4","E007",70.1188190969772,0.00418698769299821,42.3400630175113,7.67050726544065e-11,1.06074735935292e-08,17.2386810089768,12.1940477814576,-1.00733690934445,7.97438804070194,"skipped exon"
"338","Ubr4","E010",59.1099277369554,0.0230485102531781,15.127515651996,0.00010048793293046,0.0022223755133407,15.8952052418538,11.1676172421348,-1.02577404034911,2.65318255673947,"skipped exon"
"339","Unc79","E004",15.5199280915421,0.00385328875395954,13.1500988641251,0.00028750407331198,0.00516797600442521,8.17325495288435,5.76717289740162,-1.00799136868923,2.28667951149322,"skipped exon"
"340","Unc80","E023",10.4820568142947,0.00505011207364205,8.6253620576101,0.00331514542591358,0.0335745948593786,6.53836150370631,4.61526564927283,-1.00624510744492,1.47398921920721,"skipped exon"
"341","Unc80","E024",9.83833258065509,0.0142600421782586,7.59156722866595,0.00586419480626186,0.0509791315269413,6.37521581868879,4.41035028528643,-1.06436152568153,1.29260756738126,"skipped exon"
"342","Usp25","E013",14.9641695338075,0.0035609249874238,14.3526084760628,0.00015156955679599,0.00310582649042172,8.09374916419119,5.68410401837269,-1.02162946232046,2.50782281015196,"skipped exon"
"343","Usp34","E004",33.1259318383265,0.0122274936422123,16.846386118599,4.05304322133643e-05,0.00105169505625356,11.6297381358679,8.19980174336337,-1.0121633573511,2.97811016758212,"skipped exon"
"344","Utp20","E056",19.4739583802121,0.00290266678449586,20.2110287203124,6.93519496895976e-06,0.00024154146558135,9.25173773770132,6.26845038790043,-1.12585141481016,3.61700830289452,"skipped exon"
"345","Utp20","E057",17.5236639479093,0.0303684793293773,11.8018444944708,0.00059172067873325,0.009151012289734,8.85754835117325,5.79833676326456,-1.22507415188491,2.03853086139492,"skipped exon"
"346","Utp20","E058",22.4608470891112,0.00387152890234964,18.6015809879857,1.61086901688195e-05,0.00049245968585205,9.82041542141565,6.88978762638561,-1.02542034940497,3.30762931629046,"skipped exon"
"347","Utp20","E060",16.9942983606331,0.00316803864124983,14.8332758700531,0.00011744486613647,0.0025285350294945,8.55463617326711,6.00170735062551,-1.02477027721711,2.59713102541653,"skipped exon"
"348","Utp20","E061",14.5234351186794,0.00465777479178993,13.1180663227255,0.00029246173882655,0.00523422224994594,7.94180330954185,5.50438807080468,-1.05962391825903,2.28114784075692,"skipped exon"
"349","Utp20","E062",14.7015308654841,0.00340137260390976,14.1540882764636,0.00016843069795924,0.0033888775374698,7.99216095443643,5.50464380160741,-1.07777313281697,2.46994412480737,"skipped exon"
"350","Vcan","E013",139.419705056992,0.00483580771402492,70.3217357457706,5.0379528112857e-17,2.29658079345269e-14,23.9582444551419,16.3007201909808,-1.12857123343924,13.6389182715465,"skipped exon"
