"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significance","minuslog10padj","regulation","inPublication"
"3110","Dpysl2",11771.2997680077,-0.104320571676738,0.0468164421026104,-2.2282891862669,0.0258612369830599,0.0972073835972973,"p adj. >= 0.05",1.01230074604311,"not significant",FALSE
"3111","Dpysl3",39435.9149057602,0.0553376390263539,0.0393948005354172,1.40469397672425,0.160112297636914,0.344603726363128,"p adj. >= 0.05",0.462680030630898,"not significant",FALSE
"3112","Dpysl4",1369.56651673981,-0.170974358588751,0.066895213144869,-2.55585340939848,0.0105927733271398,0.0505429901527488,"p adj. >= 0.05",1.29633906854145,"not significant",FALSE
"3113","Dpysl5",16241.5657116527,-0.167898732161664,0.0470146914773204,-3.57119714893072,0.000355353279727102,0.00360942490911708,"p adj. < 0.05",2.44256198886804,"not significant",FALSE
"3114","Dr1",770.657770035972,-0.0138323983796593,0.0639032795155382,-0.216458349000632,0.828630488205425,0.910776001424664,"p adj. >= 0.05",0.0405884213882019,"not significant",FALSE
"3115","Dram2",353.882489564633,0.0578005010852117,0.101149433343357,0.57143672658061,0.567703639497362,0.746492407178322,"p adj. >= 0.05",0.126974605269601,"not significant",FALSE
"3116","Drap1",855.392534636274,-0.0313344014590727,0.0824425166147892,-0.380075751514015,0.703889185024452,0.838505843522211,"p adj. >= 0.05",0.0764939064620597,"not significant",FALSE
"3117","Draxin",3218.34572105334,-0.2350531880338,0.050200452175879,-4.68229224729457,2.83684642703448e-06,6.95951859027043e-05,"p adj. < 0.05",4.15742080073714,"not significant",FALSE
"3118","Drc1",78.6464053968753,-0.0162250940284468,0.204940333904933,-0.079169842847886,0.936897531201023,0.967777526451359,"p adj. >= 0.05",0.0142244672154988,"not significant",FALSE
"3119","Drc3",44.3963466524449,0.626469446235688,0.273935592550787,2.28692241268188,0.022200352165573,0.0864010160795448,"p adj. >= 0.05",1.06348115016989,"not significant",FALSE
"3120","Drd1",203.954783369856,0.487183044404324,0.1129771799728,4.31222521682357,1.61619679724691e-05,0.000293679677336977,"p adj. < 0.05",3.53212610565896,"not significant",FALSE
"3121","Drd2",172.634933306839,0.142814634669067,0.125438736697461,1.13852098983996,0.254902999329207,0.465690211227704,"p adj. >= 0.05",0.331902890807815,"not significant",FALSE
"3122","Drg1",955.874069301189,-0.00619900279232263,0.0612940127692805,-0.101135535303531,0.919442869559421,0.959424979293134,"p adj. >= 0.05",0.0179889785656124,"not significant",FALSE
"3123","Drg2",547.842269431418,-0.109143166128995,0.0802280130229956,-1.36041218044016,0.173699526122038,0.36420779199932,"p adj. >= 0.05",0.43865076698122,"not significant",FALSE
"3124","Drosha",2598.99241489402,-0.0897706212986685,0.0441106238153388,-2.03512472810353,0.0418383244265162,0.13660229291448,"p adj. >= 0.05",0.864542010817379,"not significant",FALSE
"3125","Drp2",1610.63374589732,0.0436222791511744,0.0738004787144809,0.591083959223898,0.554464167100672,0.736193402276179,"p adj. >= 0.05",0.133008078994606,"not significant",FALSE
"3126","Dsc3",47.3372458121898,0.129229905188199,0.290311720817193,0.445141879991729,0.656217225077793,0.806888717862128,"p adj. >= 0.05",0.0931863569147616,"not significant",FALSE
"3127","Dscam",1227.95516856313,0.0990024981440348,0.053897382099376,1.83687025765916,0.066229050962239,0.189196691699254,"p adj. >= 0.05",0.723086461958118,"not significant",FALSE
"3128","Dscaml1",1596.42668892822,-0.0780853663092205,0.0545775624664301,-1.43072286083223,0.152509658645645,0.333470911700867,"p adj. >= 0.05",0.47694204312303,"not significant",FALSE
"3129","Dse",99.9498576110734,0.0632953378586371,0.172190610900784,0.367588787376496,0.713179876727293,0.844593929108121,"p adj. >= 0.05",0.0733520445832859,"not significant",FALSE
"3130","Dsel",469.831829702527,0.315267937632138,0.101553265418503,3.1044588899521,0.00190627416888003,0.0136189023323349,"p adj. < 0.05",1.86585789464207,"not significant",FALSE
"3131","Dsn1",90.1751693715195,-0.477166601958797,0.169505874401331,-2.81504463278383,0.00487704599243447,0.0281799139931279,"p adj. < 0.05",1.55006033671875,"not significant",FALSE
"3132","Dsp",66.5881799309725,0.328704049238919,0.211643520439421,1.55310235133329,0.120398684468278,0.285095354680686,"p adj. >= 0.05",0.545009858990016,"not significant",FALSE
"3133","Dst",6359.49912725145,0.306382249634175,0.0447937122268749,6.83984948785635,7.92764280120866e-12,9.42060067784508e-10,"p adj. < 0.05",9.02592140477013,"not significant",FALSE
"3134","Dstn",3357.33923802247,0.053827557195314,0.0413250324326071,1.30254119662449,0.192731444584742,0.389283497995448,"p adj. >= 0.05",0.409734005943837,"not significant",FALSE
"3135","Dstyk",555.901445079441,0.215018149673859,0.0785491447909356,2.73737098279231,0.00619324076036488,0.0338125792693937,"p adj. < 0.05",1.47092169939867,"not significant",FALSE
