"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Aplnr",168.822599593164,-0.383915714520731,0.151768859371644,0.000724617048145347,0.00633871513430731
"Apobec3",48.632034182838,-0.524904478621339,0.274981167903044,0.00206609906201769,0.0144857844827148
"Apold1",123.252188340682,-0.792242871501769,0.188431759489094,1.26354611639078e-06,3.48241768563433e-05
"Appbp2",683.899748757793,0.266383390176191,0.0757568178211526,5.6633314573492e-05,0.000840188385350432
"Appl1",2483.19226482046,0.386546130240812,0.0704444932316349,3.62300999452249e-09,2.30577457332557e-07
"Arap2",246.383346851571,0.329285404515413,0.127566837454789,0.000780980783291425,0.00670706703981827
"Arcn1",2263.29938753549,0.190023513586866,0.0460042090927348,8.72089225377276e-06,0.000176480851845165
"Arf4",3552.63543569221,-0.177351210363036,0.048797409056271,7.42829721089271e-05,0.00105226223071291
"Arfgap1",924.465838311825,-0.171187720414259,0.0563719234214285,0.000653184747693775,0.00586575041998486
"Arfgef1",1769.52762797167,0.185651520146125,0.0525374541546677,0.000100964973067287,0.00133545437267916
"Arfgef3",700.190209158129,0.578780712732001,0.0785786771597033,1.13326634367399e-14,3.04686751256349e-12
"Arglu1",1175.73009007924,-0.220226579634933,0.063031845228969,8.50416110196815e-05,0.00116217653897644
"Arhgap11a",712.418897010323,-0.220353101216216,0.0743199569540398,0.000509904988420725,0.00482578183725189
"Arhgap17",192.548601919821,-0.330707273865375,0.140150199433882,0.00135096236711769,0.0103897129155916
"Arhgap20",1006.7606156886,0.263796532299469,0.0670566348430555,1.13469759557673e-05,0.000222117475841424
"Arhgap23",1458.54278751707,0.14138819258426,0.0575148108131068,0.00504437416251631,0.029002422035672
"Arhgap29",604.442810723106,0.226076596313952,0.0807482202625825,0.000805949124699696,0.0068855861016821
"Arhgap33",7058.67461752345,-0.139218520439099,0.0372294237123061,7.41590383471745e-05,0.00105163742861752
"Arhgap35",6486.37037805977,0.113155168070414,0.0422350221499933,0.00371654812069588,0.0227638040952675
