ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR
3839	3,4,4,9	41,34,42,45	5,2,6,2	53,44,37,25	167	561	0.444190617089856	0.8233647338472
3840	2,3,3,2	41,34,40,45	3,2,7,2	51,44,37,24	127	561	0.463255477558049	0.836618051713374
3841	2,3,4,3	4,12,10,11	5,2,7,3	10,5,11,5	127	167	0.184685341076027	0.652921704679221
3842	34,50,42,41	55,50,55,61	53,38,55,40	96,55,73,78	123	155	0.140207679281489	0.606277847298886
3844	99,75,82,115	164,149,131,164	90,70,91,74	151,145,171,148	104	174	0.117552774613176	0.575202960564585
3845	142,108,108,98	71,54,62,66	110,110,104,113	53,66,75,89	153	137	0.193703503183447	0.660487559247262
3846	0,7,2,2	61,69,56,73	1,4,3,3	61,62,67,78	192	165	0.999202115572178	0.999202115572178
3847	77,52,69,66	95,103,93,113	65,51,75,96	68,83,128,104	96	151	0.308906739797904	0.744135712256808
3848	3,1,5,1	1,0,1,0	1,1,4,0	0,0,0,1	135	108	0.999202115572178	0.999202115572178
3850	3,1,5,1	9,6,10,2	1,1,4,0	9,2,2,7	135	152	0.658776680834777	0.918639764164065
3852	1,0,1,0	9,6,10,2	0,0,0,1	9,2,2,7	108	152	0.772518860313992	0.96038299371768
3854	106,102,100,105	175,169,166,188	93,65,83,100	139,158,138,164	90	99	0.650867337931613	0.91584438629427
3855	1,0,0,2	114,102,121,134	2,0,1,0	161,138,153,149	164	151	0.786107502367329	0.966447219401207
3856	85,60,63,73	114,102,121,134	82,59,90,90	161,138,153,149	200	151	0.243466099230878	0.700537781545864
3857	30,6,15,23	49,54,56,60	37,35,20,28	61,51,44,60	119	119	0.0174654937459167	0.347782594790872
3858	15,16,14,22	80,71,82,87	9,13,14,17	105,110,101,95	118	213	0.017873067703047	0.349328730975051
3860	22,26,27,17	8,12,24,4	30,23,33,22	13,15,6,10	129	95	0.496478665147886	0.851802063094867
3861	44,33,29,34	3,1,1,3	39,41,40,40	3,0,0,2	127	142	0.221032214547185	0.681126709344328
3862	0,1,0,0	3,0,0,0	5,0,2,1	1,0,0,0	113	214	0.0170391343165501	0.346683265877554
3863	13,8,7,17	42,53,51,48	15,9,6,9	42,52,30,46	161	232	0.945639501564435	0.999202115572178
3864	0,2,6,1	94,113,102,94	3,5,2,1	102,104,84,77	129	107	0.35510520524461	0.768762532114601
3865	0,3,1,5	69,70,64,54	0,1,7,0	56,50,63,43	129	107	0.422614085485876	0.808612134064034
3866	62,74,71,98	68,107,74,84	101,93,125,101	92,100,70,102	161	143	0.136959269619696	0.600812297895272
3867	23,26,24,27	45,45,45,54	17,28,23,25	42,50,33,59	161	221	0.735465419852064	0.948788530080629
3869	20,17,32,21	39,40,37,35	32,24,20,17	30,47,33,58	79	92	0.812046990689188	0.974497035410789
3870	162,175,145,141	19,17,23,12	128,115,157,140	20,17,23,28	294	81	0.0244874166696585	0.377194785847649
3871	207,173,221,208	251,197,210,207	264,218,262,274	240,280,309,271	246	131	0.899340315448376	0.999202115572178
3872	2,1,0,1	287,231,222,305	2,0,1,3	248,227,243,268	108	122	0.405985773437501	0.798614855157176
3873	2,1,0,1	5,2,2,16	2,0,1,3	9,5,7,10	108	181	0.736868758209243	0.948788530080629
3874	287,231,222,305	5,2,2,16	248,227,243,268	9,5,7,10	122	181	0.213936405630748	0.67158720118322
3875	508,419,468,495	247,227,228,195	511,416,523,562	260,210,230,265	304	112	0.875449037384788	0.996811073921635
3876	42,48,36,39	62,62,44,44	35,30,30,35	46,28,31,45	159	143	0.471971422637848	0.840847694221469
3877	148,202,160,157	216,205,204,200	157,154,187,178	218,175,237,196	96	125	0.817561680281202	0.977061381279303
3878	407,372,385,370	156,173,172,170	437,369,397,369	174,157,145,180	188	96	0.487650876184911	0.849631884412534
3879	0,1,0,0	56,58,55,61	0,0,0,1	73,55,59,57	148	127	0.999202115572178	0.999202115572178
3880	83,124,80,69	349,690,548,482	55,42,85,78	411,384,387,329	585	2438	0.860852018388211	0.992403189274504
3881	83,124,80,69	358,710,562,490	55,42,85,78	431,397,408,341	585	2460	0.78353104425047	0.965444997593129
3882	4,16,7,8	349,689,548,483	4,2,8,5	411,385,387,329	154	2438	0.29481789299986	0.737355253903651
3883	4,16,7,8	358,709,562,491	4,2,8,5	431,398,408,341	154	2460	0.263397948697417	0.714208889371196
3884	15,36,17,20	351,689,551,483	19,13,19,7	415,385,387,329	158	2438	0.53775452460705	0.868265293989453
